id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2875421,2,3/14/2016 17:24,3/14/2016 17:32,1,-73.98215485,40.76793671,-73.96463013,40.76560211,N,455
id2377394,1,6/12/2016 0:43,6/12/2016 0:54,1,-73.98041534,40.73856354,-73.9994812,40.73115158,N,663
id3858529,2,1/19/2016 11:35,1/19/2016 12:10,1,-73.97902679,40.7639389,-74.00533295,40.71008682,N,2124
id3504673,2,4/6/2016 19:32,4/6/2016 19:39,1,-74.01004028,40.7199707,-74.01226807,40.70671844,N,429
id2181028,2,3/26/2016 13:30,3/26/2016 13:38,1,-73.97305298,40.79320908,-73.97292328,40.78252029,N,435
id0801584,2,1/30/2016 22:01,1/30/2016 22:09,6,-73.98285675,40.74219513,-73.99208069,40.74918365,N,443
id1813257,1,6/17/2016 22:34,6/17/2016 22:40,4,-73.96901703,40.7578392,-73.95740509,40.76589584,N,341
id1324603,2,5/21/2016 7:54,5/21/2016 8:20,1,-73.96927643,40.79777908,-73.92247009,40.76055908,N,1551
id1301050,1,5/27/2016 23:12,5/27/2016 23:16,1,-73.9994812,40.73839951,-73.98578644,40.73281479,N,255
id0012891,2,3/10/2016 21:45,3/10/2016 22:05,1,-73.98104858,40.74433899,-73.97299957,40.78998947,N,1225
id1436371,2,5/10/2016 22:08,5/10/2016 22:29,1,-73.98265076,40.76383972,-74.00222778,40.73299026,N,1274
id1299289,2,5/15/2016 11:16,5/15/2016 11:34,4,-73.99153137,40.74943924,-73.95654297,40.77062988,N,1128
id1187965,2,2/19/2016 9:52,2/19/2016 10:11,2,-73.96298218,40.75667953,-73.98440552,40.7607193,N,1114
id0799785,2,6/1/2016 20:58,6/1/2016 21:02,1,-73.95630646,40.76794052,-73.96611023,40.76300049,N,260
id2900608,2,5/27/2016 0:43,5/27/2016 1:07,1,-73.99219513,40.72722626,-73.97465515,40.78306961,N,1414
id3319787,1,5/16/2016 15:29,5/16/2016 15:32,1,-73.955513,40.76859283,-73.94876099,40.77154541,N,211
id3379579,2,4/11/2016 17:29,4/11/2016 18:08,1,-73.99116516,40.75556183,-73.99929047,40.72535324,N,2316
id1154431,1,4/14/2016 8:48,4/14/2016 9:00,1,-73.99425507,40.74580383,-73.99965668,40.7233429,N,731
id3552682,1,6/27/2016 9:55,6/27/2016 10:17,1,-74.00398254,40.7130127,-73.97919464,40.74992371,N,1317
id3390316,2,6/5/2016 13:47,6/5/2016 13:51,1,-73.98388672,40.73819733,-73.99120331,40.72787094,N,251
id2070428,1,2/28/2016 2:23,2/28/2016 2:31,1,-73.98036957,40.7424202,-73.96285248,40.76063538,N,486
id0809232,2,4/1/2016 12:12,4/1/2016 12:23,1,-73.97953796,40.75336075,-73.96399689,40.76345825,N,652
id2352683,1,4/9/2016 3:34,4/9/2016 3:41,1,-73.99586487,40.75881195,-73.99332428,40.74032211,N,423
id1603037,1,6/25/2016 10:36,6/25/2016 10:55,1,-73.99355316,40.74717331,-74.00614166,40.70438385,N,1163
id3321406,2,6/3/2016 8:15,6/3/2016 8:56,1,-73.95523071,40.77713394,-73.78874969,40.64147186,N,2485
id0129640,2,2/14/2016 13:27,2/14/2016 13:49,1,-73.95658112,40.77135849,-73.97496796,40.7327919,N,1283
id3587298,1,2/27/2016 21:56,2/27/2016 22:14,1,-73.98376465,40.74987411,-73.95883179,40.80096054,N,1130
id2104175,1,6/20/2016 23:07,6/20/2016 23:18,1,-73.95843506,40.71319199,-73.94953918,40.68025208,N,694
id3973319,2,6/13/2016 21:57,6/13/2016 22:12,1,-73.99421692,40.71330643,-73.98284912,40.69229889,N,892
id1410897,1,3/23/2016 14:10,3/23/2016 14:49,1,-73.9821167,40.75635147,-73.86569214,40.77098846,N,2331
id0266980,1,5/17/2016 10:47,5/17/2016 11:12,1,-73.97093964,40.76166916,-73.99623871,40.7253685,N,1479
id2822549,2,5/21/2016 13:03,5/21/2016 13:20,1,-73.99826813,40.72003937,-74.01036072,40.67213821,N,1048
id3075902,2,5/10/2016 19:27,5/10/2016 19:44,2,-74.00550079,40.70658875,-73.98581696,40.74420166,N,1022
id0023813,1,4/17/2016 14:38,4/17/2016 15:16,1,-73.99031067,40.75658035,-73.87091827,40.7739296,N,2269
id3970352,1,1/9/2016 12:55,1/9/2016 13:07,1,-74.00899506,40.71258926,-73.99863434,40.72280884,N,707
id3361153,1,3/11/2016 7:11,3/11/2016 7:20,1,-73.99456024,40.75052643,-73.97850037,40.75619125,N,526
id1870624,1,1/5/2016 15:29,1/5/2016 15:39,3,-73.9515152,40.77024841,-73.95852661,40.76151657,N,553
id2403238,1,6/23/2016 23:00,6/23/2016 23:04,1,-73.98806763,40.72808075,-73.98075104,40.72146988,N,277
id3323083,1,5/27/2016 14:26,5/27/2016 14:46,2,-73.97812653,40.75834274,-73.99224854,40.73054123,N,1189
id3720663,1,5/10/2016 16:14,5/10/2016 16:40,1,-73.97776794,40.77407837,-73.94714355,40.77599335,N,1523
id0578558,1,4/21/2016 21:28,4/21/2016 21:52,2,-73.98854828,40.74597931,-73.97088623,40.79338455,N,1450
id2573056,2,4/14/2016 13:27,4/14/2016 13:46,2,-73.97472382,40.75113678,-73.95444489,40.76411819,N,1102
id2129090,1,3/14/2016 14:05,3/14/2016 14:28,1,-73.97509003,40.75876617,-73.95320129,40.76506805,N,1346
id3961107,1,3/19/2016 1:12,3/19/2016 1:18,1,-73.97647095,40.73978043,-73.98066711,40.72996521,N,363
